combination_id,n,k,p,q,thrshld,p1,p2,beta,seeds,case_A_count,case_B_count,case_C_count,case_Invalid_count,delta_star_mean,delta_star_std,status
1,2000,8,1,6.0,4.0,0.01,0.5,1.0,4,491,9,0,0,,,success
3,2000,8,1,6.0,4.0,0.01,0.5,1.4,4,473,5,22,0,1.0,0.0,success
2,2000,8,1,6.0,4.0,0.01,0.5,1.2,4,479,9,12,0,1.0,0.0,success
7,2000,8,1,6.0,4.0,0.01,0.5,2.1999999999999997,4,440,18,42,0,0.9794064583758184,0.07650771483222644,success
6,2000,8,1,6.0,4.0,0.01,0.5,1.9999999999999998,4,461,13,26,0,1.0,0.0,success
13,2000,8,1,6.0,4.0,0.01,0.5,3.3999999999999995,4,399,22,79,0,0.9602194178577275,0.14632873273453617,success
5,2000,8,1,6.0,4.0,0.01,0.5,1.7999999999999998,4,469,7,24,0,0.9596749965398447,0.13988567849425526,success
4,2000,8,1,6.0,4.0,0.01,0.5,1.5999999999999999,4,467,10,23,0,1.0,0.0,success
15,2000,8,1,6.0,4.0,0.01,0.5,3.7999999999999994,4,377,18,105,0,0.9300751161462272,0.23817606321898804,success
16,2000,8,1,6.0,4.0,0.01,0.5,3.999999999999999,4,382,17,101,0,0.9509710389833574,0.20100220007390654,success
10,2000,8,1,6.0,4.0,0.01,0.5,2.8,4,425,11,64,0,0.9850048112362833,0.0688257492138373,success
8,2000,8,1,6.0,4.0,0.01,0.5,2.3999999999999995,4,436,14,50,0,0.9798343919264587,0.08113026192681724,success
19,2000,8,1,6.0,4.0,0.01,0.5,4.6,4,340,24,136,0,0.8695191283864121,0.3212592633180778,success
12,2000,8,1,6.0,4.0,0.01,0.5,3.1999999999999993,4,408,20,72,0,0.9675458396049194,0.13905819147719098,success
11,2000,8,1,6.0,4.0,0.01,0.5,2.9999999999999996,4,424,11,65,0,0.98072886199612,0.07649452011396576,success
9,2000,8,1,6.0,4.0,0.01,0.5,2.5999999999999996,4,424,14,62,0,0.9837375696317979,0.07315513266098238,success
14,2000,8,1,6.0,4.0,0.01,0.5,3.5999999999999996,4,385,19,96,0,0.9498446772830872,0.18991649898166427,success
18,2000,8,1,6.0,4.0,0.01,0.5,4.3999999999999995,4,350,23,127,0,0.8915908184423568,0.29355275366078726,success
17,2000,8,1,6.0,4.0,0.01,0.5,4.199999999999999,4,365,22,113,0,0.9145470625649759,0.25923375669736676,success
20,2000,8,1,6.0,4.0,0.01,0.5,4.799999999999999,4,337,27,136,0,0.8458248266251391,0.3515714070915663,success
21,2000,8,1,6.0,4.0,0.01,0.5,4.999999999999999,4,331,23,146,0,0.8599370836768687,0.33394101875659893,success
22,2000,8,1,6.0,4.0,0.01,0.5,5.199999999999999,4,320,23,157,0,0.8387510231042877,0.35034877965714106,success
23,2000,8,1,6.0,4.0,0.01,0.5,5.399999999999999,4,311,23,166,0,0.8194159643568346,0.36968267045802944,success
24,2000,8,1,6.0,4.0,0.01,0.5,5.599999999999999,4,293,23,184,0,0.8195055663515178,0.37512890789529035,success
29,2000,8,1,6.0,4.0,0.01,0.5,6.599999999999999,4,256,23,221,0,0.7224256730845428,0.4347887714131079,success
25,2000,8,1,6.0,4.0,0.01,0.5,5.799999999999999,4,297,25,178,0,0.7906050102196298,0.3958854578375603,success
26,2000,8,1,6.0,4.0,0.01,0.5,5.999999999999999,4,282,31,187,0,0.7599643763764501,0.41627386074497336,success
27,2000,8,1,6.0,4.0,0.01,0.5,6.199999999999999,4,268,27,205,0,0.7468386949939364,0.42458585978856583,success
28,2000,8,1,6.0,4.0,0.01,0.5,6.399999999999999,4,265,29,206,0,0.7291297543682411,0.4357859580002606,success
30,2000,8,1,6.0,4.0,0.01,0.5,6.799999999999999,4,252,21,227,0,0.6927332927218944,0.4486947359373567,success
31,2000,8,1,6.0,4.0,0.01,0.5,6.999999999999998,4,241,27,232,0,0.647418598305434,0.46585324492925073,success
32,2000,8,1,6.0,4.0,0.01,0.5,7.199999999999998,4,238,23,239,0,0.6316474589067856,0.46947980843403014,success
47,2000,8,1,6.0,4.0,0.01,0.51,1.0,4,491,9,0,0,,,success
48,2000,8,1,6.0,4.0,0.01,0.51,1.2,4,479,9,12,0,1.0,0.0,success
53,2000,8,1,6.0,4.0,0.01,0.51,2.1999999999999997,4,440,18,42,0,0.9794064583758184,0.07650771483222644,success
49,2000,8,1,6.0,4.0,0.01,0.51,1.4,4,473,5,22,0,1.0,0.0,success
50,2000,8,1,6.0,4.0,0.01,0.51,1.5999999999999999,4,467,10,23,0,1.0,0.0,success
57,2000,8,1,6.0,4.0,0.01,0.51,2.9999999999999996,4,424,11,65,0,0.98072886199612,0.07649452011396576,success
51,2000,8,1,6.0,4.0,0.01,0.51,1.7999999999999998,4,469,7,24,0,0.9596749965398447,0.13988567849425526,success
52,2000,8,1,6.0,4.0,0.01,0.51,1.9999999999999998,4,461,13,26,0,1.0,0.0,success
33,2000,8,1,6.0,4.0,0.01,0.5,7.399999999999999,4,228,20,252,0,0.6113061315051399,0.4740989305882178,success
55,2000,8,1,6.0,4.0,0.01,0.51,2.5999999999999996,4,424,14,62,0,0.9837375696317979,0.07315513266098238,success
56,2000,8,1,6.0,4.0,0.01,0.51,2.8,4,425,11,64,0,0.9850048112362833,0.0688257492138373,success
