combination_id,n,k,p,q,thrshld,p1,p2,beta,seeds,case_A_count,case_B_count,case_C_count,case_Invalid_count,delta_star_mean,delta_star_std,status
1,2000,8,4,0.0,4.0,0.01,0.5,1.0,4,459,41,0,0,,,success
2,2000,8,4,0.0,4.0,0.01,0.5,1.2,4,436,41,23,0,1.0,0.0,success
5,2000,8,4,0.0,4.0,0.01,0.5,1.7999999999999998,4,400,53,47,0,0.9098774617152292,0.19105827441923642,success
4,2000,8,4,0.0,4.0,0.01,0.5,1.5999999999999999,4,409,51,40,0,0.975,0.11036071393157613,success
3,2000,8,4,0.0,4.0,0.01,0.5,1.4,4,422,51,27,0,1.0,0.0,success
8,2000,8,4,0.0,4.0,0.01,0.5,2.3999999999999995,4,388,45,67,0,0.8396840377454986,0.23276920269030305,success
6,2000,8,4,0.0,4.0,0.01,0.5,1.9999999999999998,4,413,46,41,0,0.7868102242249544,0.2498042495999314,success
7,2000,8,4,0.0,4.0,0.01,0.5,2.1999999999999997,4,399,49,52,0,0.8108039745068972,0.24247942316330165,success
9,2000,8,4,0.0,4.0,0.01,0.5,2.5999999999999996,4,377,45,78,0,0.8374408843331731,0.2284191858375281,success
11,2000,8,4,0.0,4.0,0.01,0.5,2.9999999999999996,4,386,38,76,0,0.7628681056218504,0.23700951614622814,success
10,2000,8,4,0.0,4.0,0.01,0.5,2.8,4,374,42,84,0,0.8107079986103519,0.2340023661262134,success
12,2000,8,4,0.0,4.0,0.01,0.5,3.1999999999999993,4,375,37,88,0,0.7762043793472021,0.23596396519237434,success
13,2000,8,4,0.0,4.0,0.01,0.5,3.3999999999999995,4,371,35,94,0,0.7883745813624201,0.23505287048748036,success
15,2000,8,4,0.0,4.0,0.01,0.5,3.7999999999999994,4,372,38,90,0,0.7688315194241896,0.248561987980445,success
14,2000,8,4,0.0,4.0,0.01,0.5,3.5999999999999996,4,370,37,93,0,0.7896324032164562,0.239725918518,success
16,2000,8,4,0.0,4.0,0.01,0.5,3.999999999999999,4,376,33,91,0,0.7580366297998601,0.2560018144266831,success
17,2000,8,4,0.0,4.0,0.01,0.5,4.199999999999999,4,368,37,95,0,0.7594812283516045,0.24963177451469823,success
18,2000,8,4,0.0,4.0,0.01,0.5,4.3999999999999995,4,367,38,95,0,0.7215855892669233,0.26155449264924263,success
19,2000,8,4,0.0,4.0,0.01,0.5,4.6,4,368,35,97,0,0.7203651183797937,0.2619747420172115,success
22,2000,8,4,0.0,4.0,0.01,0.5,5.199999999999999,4,363,39,98,0,0.7000140190702273,0.2618767618201481,success
23,2000,8,4,0.0,4.0,0.01,0.5,5.399999999999999,4,366,41,93,0,0.7034032580247053,0.24401729430540645,success
24,2000,8,4,0.0,4.0,0.01,0.5,5.599999999999999,4,368,41,91,0,0.6900945733529669,0.2413352210780881,success
20,2000,8,4,0.0,4.0,0.01,0.5,4.799999999999999,4,363,37,100,0,0.7155719519744912,0.2594915470043736,success
21,2000,8,4,0.0,4.0,0.01,0.5,4.999999999999999,4,364,39,97,0,0.6984372309938425,0.272909566152412,success
25,2000,8,4,0.0,4.0,0.01,0.5,5.799999999999999,4,366,37,97,0,0.6941997475183503,0.23672463031510857,success
26,2000,8,4,0.0,4.0,0.01,0.5,5.999999999999999,4,362,37,101,0,0.7039407802353433,0.23802683994334947,success
28,2000,8,4,0.0,4.0,0.01,0.5,6.399999999999999,4,360,39,101,0,0.6772478451366992,0.2494601670646812,success
27,2000,8,4,0.0,4.0,0.01,0.5,6.199999999999999,4,359,39,102,0,0.6995177731971384,0.24863140166333605,success
29,2000,8,4,0.0,4.0,0.01,0.5,6.599999999999999,4,359,36,105,0,0.6808103976059462,0.25958483421317036,success
31,2000,8,4,0.0,4.0,0.01,0.5,6.999999999999998,4,355,33,112,0,0.6701639414337454,0.26724092757881807,success
30,2000,8,4,0.0,4.0,0.01,0.5,6.799999999999999,4,358,34,108,0,0.6740067203935738,0.2635338404879012,success
32,2000,8,4,0.0,4.0,0.01,0.5,7.199999999999998,4,354,35,111,0,0.6618646716227455,0.27526345160991406,success
47,2000,8,4,0.0,4.0,0.01,0.51,1.0,4,459,41,0,0,,,success
48,2000,8,4,0.0,4.0,0.01,0.51,1.2,4,436,38,26,0,1.0,0.0,success
49,2000,8,4,0.0,4.0,0.01,0.51,1.4,4,422,48,30,0,1.0,0.0,success
50,2000,8,4,0.0,4.0,0.01,0.51,1.5999999999999999,4,409,48,43,0,0.9767441860465116,0.10654131615822317,success
52,2000,8,4,0.0,4.0,0.01,0.51,1.9999999999999998,4,414,44,42,0,0.7918861712672174,0.24892227532199399,success
34,2000,8,4,0.0,4.0,0.01,0.5,7.599999999999999,4,351,33,116,0,0.6513870884657817,0.2830520165773377,success
51,2000,8,4,0.0,4.0,0.01,0.51,1.7999999999999998,4,400,50,50,0,0.9152848140123154,0.1863754383552801,success
35,2000,8,4,0.0,4.0,0.01,0.5,7.799999999999999,4,347,34,119,0,0.6544165758395663,0.2801947743438847,success
55,2000,8,4,0.0,4.0,0.01,0.51,2.5999999999999996,4,378,44,78,0,0.8411962013598514,0.2286559508187345,success
53,2000,8,4,0.0,4.0,0.01,0.51,2.1999999999999997,4,399,47,54,0,0.8232355815266585,0.2413363823408121,success
58,2000,8,4,0.0,4.0,0.01,0.51,3.1999999999999993,4,377,37,86,0,0.7747954023589065,0.2356288762509545,success
59,2000,8,4,0.0,4.0,0.01,0.51,3.3999999999999995,4,373,35,92,0,0.785149161094428,0.23371497726046497,success
56,2000,8,4,0.0,4.0,0.01,0.51,2.8,4,376,41,83,0,0.8119564651969935,0.23514325865031496,success
54,2000,8,4,0.0,4.0,0.01,0.51,2.3999999999999995,4,389,44,67,0,0.8440558993586463,0.2329916537063636,success
33,2000,8,4,0.0,4.0,0.01,0.5,7.399999999999999,4,352,36,112,0,0.651718484804823,0.2788857160728001,success
60,2000,8,4,0.0,4.0,0.01,0.51,3.5999999999999996,4,373,37,90,0,0.7879892290613328,0.23918502033810207,success
57,2000,8,4,0.0,4.0,0.01,0.51,2.9999999999999996,4,388,37,75,0,0.7645045046642579,0.23624396203316428,success
37,2000,8,4,0.0,4.0,0.01,0.5,8.2,4,348,31,121,0,0.6559324500847377,0.2790516238318146,success
39,2000,8,4,0.0,4.0,0.01,0.5,8.599999999999998,4,349,32,119,0,0.6352982889816058,0.2767071109053132,success
61,2000,8,4,0.0,4.0,0.01,0.51,3.7999999999999994,4,374,38,88,0,0.7655944386057737,0.24703797881589293,success
38,2000,8,4,0.0,4.0,0.01,0.5,8.399999999999999,4,346,32,122,0,0.6488292470964839,0.2827719885369385,success
36,2000,8,4,0.0,4.0,0.01,0.5,7.999999999999998,4,348,32,120,0,0.6545436023918493,0.27941921729747404,success
63,2000,8,4,0.0,4.0,0.01,0.51,4.199999999999999,4,371,37,92,0,0.7544047096192734,0.25178619505267047,success
62,2000,8,4,0.0,4.0,0.01,0.51,3.999999999999999,4,379,33,88,0,0.7526236080746124,0.2578051923136984,success
64,2000,8,4,0.0,4.0,0.01,0.51,4.3999999999999995,4,370,38,92,0,0.7189875200298621,0.26432690261796143,success
