combination_id,n,k,p,q,thrshld,p1,p2,beta,seeds,case_A_count,case_B_count,case_C_count,case_Invalid_count,delta_star_mean,delta_star_std,status
32,2000,8,4,0.0,2.0,0.01,0.8100000000000003,7.0,2,500,0,0,0,,,success
31,2000,8,4,0.0,2.0,0.01,0.8000000000000003,7.0,2,500,0,0,0,,,success
30,2000,8,4,0.0,2.0,0.01,0.7900000000000003,7.0,2,500,0,0,0,,,success
29,2000,8,4,0.0,2.0,0.01,0.7800000000000002,7.0,2,500,0,0,0,,,success
28,2000,8,4,0.0,2.0,0.01,0.7700000000000002,7.0,2,500,0,0,0,,,success
27,2000,8,4,0.0,2.0,0.01,0.7600000000000002,7.0,2,500,0,0,0,,,success
26,2000,8,4,0.0,2.0,0.01,0.7500000000000002,7.0,2,500,0,0,0,,,success
25,2000,8,4,0.0,2.0,0.01,0.7400000000000002,7.0,2,500,0,0,0,,,success
24,2000,8,4,0.0,2.0,0.01,0.7300000000000002,7.0,2,500,0,0,0,,,success
23,2000,8,4,0.0,2.0,0.01,0.7200000000000002,7.0,2,499,0,1,0,0.33352504850176967,,success
22,2000,8,4,0.0,2.0,0.01,0.7100000000000002,7.0,2,499,0,1,0,0.33352504937617583,,success
21,2000,8,4,0.0,2.0,0.01,0.7000000000000002,7.0,2,499,0,1,0,0.37462596271958365,,success
20,2000,8,4,0.0,2.0,0.01,0.6900000000000002,7.0,2,499,0,1,0,0.3747617071790458,,success
19,2000,8,4,0.0,2.0,0.01,0.6800000000000002,7.0,2,499,0,1,0,0.37476170735251857,,success
18,2000,8,4,0.0,2.0,0.01,0.6700000000000002,7.0,2,499,0,1,0,0.37476388519150444,,success
17,2000,8,4,0.0,2.0,0.01,0.6600000000000001,7.0,2,499,0,1,0,0.3752515650613617,,success
16,2000,8,4,0.0,2.0,0.01,0.6500000000000001,7.0,2,499,0,1,0,0.375251565077649,,success
12,2000,8,4,0.0,2.0,0.01,0.6100000000000001,7.0,2,499,0,1,0,0.37633615217049243,,success
15,2000,8,4,0.0,2.0,0.01,0.6400000000000001,7.0,2,499,0,1,0,0.375251565077649,,success
14,2000,8,4,0.0,2.0,0.01,0.6300000000000001,7.0,2,499,0,1,0,0.37633614448679187,,success
11,2000,8,4,0.0,2.0,0.01,0.6000000000000001,7.0,2,499,0,1,0,0.37633615217049243,,success
13,2000,8,4,0.0,2.0,0.01,0.6200000000000001,7.0,2,499,0,1,0,0.3763361479932327,,success
