combination_id,n,k,p,q,thrshld,p1,p2,beta,seeds,case_A_count,case_B_count,case_C_count,case_Invalid_count,delta_star_mean,delta_star_std,status
2,2000,8,1,6.0,2.0,0.01,0.6,1.2,2,484,15,1,0,1.0,,success
3,2000,8,1,6.0,2.0,0.01,0.6,1.4,2,475,22,3,0,1.0,0.0,success
12,2000,8,1,6.0,2.0,0.01,0.6,3.1999999999999993,2,424,34,42,0,0.9828171692757466,0.0783564941581204,success
4,2000,8,1,6.0,2.0,0.01,0.6,1.5999999999999999,2,472,23,5,0,1.0,0.0,success
11,2000,8,1,6.0,2.0,0.01,0.6,2.9999999999999996,2,433,33,34,0,1.0,0.0,success
5,2000,8,1,6.0,2.0,0.01,0.6,1.7999999999999998,2,469,22,9,0,1.0,0.0,success
13,2000,8,1,6.0,2.0,0.01,0.6,3.3999999999999995,2,420,36,44,0,0.9845571483020211,0.07291378373819979,success
6,2000,8,1,6.0,2.0,0.01,0.6,1.9999999999999998,2,466,23,11,0,1.0,0.0,success
14,2000,8,1,6.0,2.0,0.01,0.6,3.5999999999999996,2,411,37,52,0,0.9888749992440278,0.0568433186423319,success
9,2000,8,1,6.0,2.0,0.01,0.6,2.5999999999999996,2,446,30,24,0,1.0,0.0,success
8,2000,8,1,6.0,2.0,0.01,0.6,2.3999999999999995,2,449,27,24,0,1.0,0.0,success
15,2000,8,1,6.0,2.0,0.01,0.6,3.7999999999999994,2,404,35,61,0,0.9679426592454106,0.14401876842907857,success
7,2000,8,1,6.0,2.0,0.01,0.6,2.1999999999999997,2,455,26,19,0,1.0,0.0,success
10,2000,8,1,6.0,2.0,0.01,0.6,2.8,2,438,33,29,0,1.0,0.0,success
1,2000,8,1,6.0,2.0,0.01,0.6,1.0,2,490,10,0,0,,,success
16,2000,8,1,6.0,2.0,0.01,0.6,3.999999999999999,2,399,35,66,0,0.9716353701822611,0.1382057525198205,success
