combination_id,n,k,p,q,thrshld,p1,p2,beta,seeds,case_A_count,case_B_count,case_C_count,case_Invalid_count,delta_star_mean,delta_star_std,status
1,2000,8,2,4.0,2.0,0.01,1.0,1.0,2,493,7,0,0,,,success
2,2000,8,2,4.0,2.0,0.01,1.0,1.2,2,492,6,2,0,1.0,0.0,success
4,2000,8,2,4.0,2.0,0.01,1.0,1.5999999999999999,2,487,9,4,0,1.0,0.0,success
5,2000,8,2,4.0,2.0,0.01,1.0,1.7999999999999998,2,486,10,4,0,1.0,0.0,success
3,2000,8,2,4.0,2.0,0.01,1.0,1.4,2,488,10,2,0,1.0,0.0,success
7,2000,8,2,4.0,2.0,0.01,1.0,2.1999999999999997,2,485,10,5,0,0.9,0.22360679774997896,success
6,2000,8,2,4.0,2.0,0.01,1.0,1.9999999999999998,2,486,9,5,0,1.0,0.0,success
25,2000,8,2,4.0,2.0,0.01,1.0,5.799999999999999,2,462,9,29,0,0.6962314780754396,0.3452948198944224,success
23,2000,8,2,4.0,2.0,0.01,1.0,5.399999999999999,2,463,9,28,0,0.7077787944641699,0.34801960948692495,success
29,2000,8,2,4.0,2.0,0.01,1.0,6.599999999999999,2,455,7,38,0,0.575692767641213,0.40711206062531113,success
32,2000,8,2,4.0,2.0,0.01,1.0,7.199999999999998,2,449,7,44,0,0.44822586269180015,0.4182715810655167,success
31,2000,8,2,4.0,2.0,0.01,1.0,6.999999999999998,2,452,6,42,0,0.46727261183268026,0.41790569073333034,success
22,2000,8,2,4.0,2.0,0.01,1.0,5.199999999999999,2,463,7,30,0,0.7284442455009904,0.3429505272669968,success
28,2000,8,2,4.0,2.0,0.01,1.0,6.399999999999999,2,459,7,34,0,0.6203589395609149,0.39536315008302597,success
24,2000,8,2,4.0,2.0,0.01,1.0,5.599999999999999,2,460,9,31,0,0.691087149030003,0.358995413642734,success
26,2000,8,2,4.0,2.0,0.01,1.0,5.999999999999999,2,462,10,28,0,0.6690571621525047,0.37309606390460603,success
9,2000,8,2,4.0,2.0,0.01,1.0,2.5999999999999996,2,481,8,11,0,0.9198192689389793,0.1803320320995531,success
8,2000,8,2,4.0,2.0,0.01,1.0,2.3999999999999995,2,481,10,9,0,0.9444444444444444,0.16666666666666669,success
10,2000,8,2,4.0,2.0,0.01,1.0,2.8,2,478,9,13,0,0.9321547660252901,0.16735097323931195,success
27,2000,8,2,4.0,2.0,0.01,1.0,6.199999999999999,2,461,10,29,0,0.5984248361586064,0.39123136883209153,success
20,2000,8,2,4.0,2.0,0.01,1.0,4.799999999999999,2,462,9,29,0,0.7528236051308643,0.31926512840612015,success
30,2000,8,2,4.0,2.0,0.01,1.0,6.799999999999999,2,458,7,35,0,0.46453723868711777,0.41092893537777725,success
21,2000,8,2,4.0,2.0,0.01,1.0,4.999999999999999,2,463,7,30,0,0.7287745616844356,0.34217553320088645,success
18,2000,8,2,4.0,2.0,0.01,1.0,4.3999999999999995,2,466,8,26,0,0.794638236000779,0.29122723867813033,success
19,2000,8,2,4.0,2.0,0.01,1.0,4.6,2,465,8,27,0,0.7744608352555516,0.2892219081768337,success
17,2000,8,2,4.0,2.0,0.01,1.0,4.199999999999999,2,467,9,24,0,0.7697450453364966,0.3331935488468647,success
16,2000,8,2,4.0,2.0,0.01,1.0,3.999999999999999,2,469,9,22,0,0.7935939966744224,0.30162312493987026,success
15,2000,8,2,4.0,2.0,0.01,1.0,3.7999999999999994,2,470,9,21,0,0.8342959811263249,0.24675444734467733,success
14,2000,8,2,4.0,2.0,0.01,1.0,3.5999999999999996,2,470,11,19,0,0.8849993448004034,0.23202429012198544,success
13,2000,8,2,4.0,2.0,0.01,1.0,3.3999999999999995,2,474,11,15,0,0.8583085903902316,0.2472187035850722,success
12,2000,8,2,4.0,2.0,0.01,1.0,3.1999999999999993,2,475,10,15,0,0.9268659061409967,0.19386919114927248,success
11,2000,8,2,4.0,2.0,0.01,1.0,2.9999999999999996,2,477,10,13,0,0.9230769230769231,0.18776690404970267,success
33,2000,8,2,4.0,2.0,0.01,1.0,7.399999999999999,2,446,6,48,0,0.4189401730663522,0.4132002562439213,success
36,2000,8,2,4.0,2.0,0.01,1.0,7.999999999999998,2,437,6,57,0,0.3522804370536948,0.40332498736313,success
37,2000,8,2,4.0,2.0,0.01,1.0,8.2,2,435,6,59,0,0.3408859312012991,0.40176660274590004,success
34,2000,8,2,4.0,2.0,0.01,1.0,7.599999999999999,2,442,6,52,0,0.400100276651326,0.40694667240464677,success
35,2000,8,2,4.0,2.0,0.01,1.0,7.799999999999999,2,439,6,55,0,0.37729968974280703,0.4048258143487009,success
47,2000,8,2,4.0,2.1,0.01,1.0,1.0,3,494,6,0,0,,,success
38,2000,8,2,4.0,2.0,0.01,1.0,8.399999999999999,2,431,4,65,0,0.35017332110151134,0.40446366281125795,success
48,2000,8,2,4.0,2.1,0.01,1.0,1.2,3,489,6,5,0,1.0,0.0,success
39,2000,8,2,4.0,2.0,0.01,1.0,8.599999999999998,2,427,4,69,0,0.33062358831811856,0.400427933710386,success
40,2000,8,2,4.0,2.0,0.01,1.0,8.799999999999997,2,424,4,72,0,0.3179863787530779,0.3970700569499648,success
50,2000,8,2,4.0,2.1,0.01,1.0,1.5999999999999999,3,481,6,13,0,0.8936932275637517,0.20391995482792172,success
49,2000,8,2,4.0,2.1,0.01,1.0,1.4,3,488,4,8,0,1.0,0.0,success
46,2000,8,2,4.0,2.0,0.01,1.0,9.999999999999998,2,420,5,75,0,0.26634738533912977,0.37059207041478526,success
41,2000,8,2,4.0,2.0,0.01,1.0,8.999999999999998,2,423,5,72,0,0.29170800276410525,0.385079357991918,success
43,2000,8,2,4.0,2.0,0.01,1.0,9.399999999999999,2,421,4,75,0,0.28711314991312686,0.37892761399106634,success
42,2000,8,2,4.0,2.0,0.01,1.0,9.199999999999998,2,421,5,74,0,0.281673003614301,0.3778560670688765,success
44,2000,8,2,4.0,2.0,0.01,1.0,9.599999999999998,2,422,4,74,0,0.2814564858652062,0.3781786646228218,success
45,2000,8,2,4.0,2.0,0.01,1.0,9.799999999999997,2,421,4,75,0,0.2759857519066433,0.3737048748895907,success
51,2000,8,2,4.0,2.1,0.01,1.0,1.7999999999999998,3,483,6,11,0,0.8167284589480643,0.2604604473579867,success
52,2000,8,2,4.0,2.1,0.01,1.0,1.9999999999999998,3,488,5,7,0,0.7834304354898153,0.2797477577596685,success
54,2000,8,2,4.0,2.1,0.01,1.0,2.3999999999999995,3,483,4,13,0,0.8833522900399908,0.22758370580988227,success
53,2000,8,2,4.0,2.1,0.01,1.0,2.1999999999999997,3,484,5,11,0,0.8646020725227856,0.23731368901756392,success
55,2000,8,2,4.0,2.1,0.01,1.0,2.5999999999999996,3,482,5,13,0,0.7815998332576674,0.22512901387288042,success
56,2000,8,2,4.0,2.1,0.01,1.0,2.8,3,482,5,13,0,0.8023411038663537,0.2340624395919716,success
57,2000,8,2,4.0,2.1,0.01,1.0,2.9999999999999996,3,485,3,12,0,0.7602772446779373,0.22847921035607094,success
58,2000,8,2,4.0,2.1,0.01,1.0,3.1999999999999993,3,483,3,14,0,0.7915097683128461,0.2287606352752184,success
