combination_id,n,k,p,q,thrshld,p1,p2,beta,seeds,case_A_count,case_B_count,case_C_count,case_Invalid_count,delta_star_mean,delta_star_std,status
1,2000,8,1,6.0,2.0,0.1,0.5,1.0,2,447,53,0,0,,,success
3,2000,8,1,6.0,2.0,0.1,0.5,1.4,2,347,106,47,0,0.8157908720023411,0.28222153781584497,success
2,2000,8,1,6.0,2.0,0.1,0.5,1.2,2,396,80,24,0,0.9093769601152353,0.19113214839732048,success
4,2000,8,1,6.0,2.0,0.1,0.5,1.5999999999999999,2,313,113,74,0,0.8228415393003559,0.24793680277930302,success
5,2000,8,1,6.0,2.0,0.1,0.5,1.7999999999999998,2,292,118,90,0,0.7687137156928804,0.24785517219469058,success
6,2000,8,1,6.0,2.0,0.1,0.5,1.9999999999999998,2,304,103,93,0,0.7900397898045297,0.23988920240314687,success
7,2000,8,1,6.0,2.0,0.1,0.5,2.1999999999999997,2,290,93,117,0,0.7523123513700818,0.24240941698675192,success
31,2000,8,1,6.0,2.0,0.1,0.5,6.999999999999998,2,305,69,126,0,0.4584597785268552,0.1758791060257473,success
22,2000,8,1,6.0,2.0,0.1,0.5,5.199999999999999,2,302,61,137,0,0.4704799308185965,0.17461628258661005,success
21,2000,8,1,6.0,2.0,0.1,0.5,4.999999999999999,2,302,62,136,0,0.4619576080308799,0.1739183328739423,success
30,2000,8,1,6.0,2.0,0.1,0.5,6.799999999999999,2,304,70,126,0,0.4466635195193313,0.16169623781165351,success
25,2000,8,1,6.0,2.0,0.1,0.5,5.799999999999999,2,304,64,132,0,0.46101375984650395,0.1657398022801334,success
32,2000,8,1,6.0,2.0,0.1,0.5,7.199999999999998,2,306,69,125,0,0.4540704775890096,0.16880375399384762,success
26,2000,8,1,6.0,2.0,0.1,0.5,5.999999999999999,2,306,63,131,0,0.4649357554720201,0.1744112857301736,success
18,2000,8,1,6.0,2.0,0.1,0.5,4.3999999999999995,2,306,60,134,0,0.474148699252608,0.16683466560222582,success
15,2000,8,1,6.0,2.0,0.1,0.5,3.7999999999999994,2,300,57,143,0,0.5018231553810197,0.16567642700562307,success
28,2000,8,1,6.0,2.0,0.1,0.5,6.399999999999999,2,304,61,135,0,0.4714518951163938,0.1777167077879808,success
27,2000,8,1,6.0,2.0,0.1,0.5,6.199999999999999,2,306,63,131,0,0.46038710107075587,0.1671780296915789,success
19,2000,8,1,6.0,2.0,0.1,0.5,4.6,2,304,61,135,0,0.46837514367595595,0.16565901419070875,success
17,2000,8,1,6.0,2.0,0.1,0.5,4.199999999999999,2,303,58,139,0,0.48071192258987716,0.17159827533759284,success
20,2000,8,1,6.0,2.0,0.1,0.5,4.799999999999999,2,302,60,138,0,0.4693906272269193,0.16649235761968764,success
29,2000,8,1,6.0,2.0,0.1,0.5,6.599999999999999,2,305,66,129,0,0.45257014730692635,0.1629530125378555,success
16,2000,8,1,6.0,2.0,0.1,0.5,3.999999999999999,2,306,56,138,0,0.4844225313781565,0.15447551500492604,success
14,2000,8,1,6.0,2.0,0.1,0.5,3.5999999999999996,2,293,59,148,0,0.5151239872271844,0.18352814471252013,success
13,2000,8,1,6.0,2.0,0.1,0.5,3.3999999999999995,2,297,51,152,0,0.5358616002606557,0.18174321340823082,success
8,2000,8,1,6.0,2.0,0.1,0.5,2.3999999999999995,2,273,76,151,0,0.7320277632555634,0.22483553446465182,success
23,2000,8,1,6.0,2.0,0.1,0.5,5.399999999999999,2,301,63,136,0,0.47988151468562823,0.18498639658787872,success
24,2000,8,1,6.0,2.0,0.1,0.5,5.599999999999999,2,303,64,133,0,0.46786964077792176,0.17709858146672816,success
