combination_id,n,k,p,q,thrshld,p1,p2,beta,seeds,case_A_count,case_B_count,case_C_count,case_Invalid_count,delta_star_mean,delta_star_std,status
1,2000,8,4,0.0,2.0,0.1,1.0,1.0,2,500,0,0,0,,,success
2,2000,8,4,0.0,2.0,0.1,1.0,1.2,2,493,0,7,0,0.9071492187476721,0.16195294219288736,success
3,2000,8,4,0.0,2.0,0.1,1.0,1.4,2,483,1,16,0,0.7599270395142046,0.2222612016197338,success
4,2000,8,4,0.0,2.0,0.1,1.0,1.5999999999999999,2,485,1,14,0,0.7954734641865444,0.18650788092248946,success
5,2000,8,4,0.0,2.0,0.1,1.0,1.7999999999999998,2,493,0,7,0,0.728746046464317,0.24674389656692278,success
6,2000,8,4,0.0,2.0,0.1,1.0,1.9999999999999998,2,498,0,2,0,0.4043354763409407,0.18863079503812685,success
7,2000,8,4,0.0,2.0,0.1,1.0,2.1999999999999997,2,493,0,7,0,0.5368036365817216,0.20445874307086728,success
23,2000,8,4,0.0,2.0,0.1,1.0,5.399999999999999,2,0,1,499,0,0.5518673284816433,0.07468308847845985,success
22,2000,8,4,0.0,2.0,0.1,1.0,5.199999999999999,2,0,1,499,0,0.5537283111341659,0.07525453044664343,success
26,2000,8,4,0.0,2.0,0.1,1.0,5.999999999999999,2,0,1,499,0,0.5457749553512959,0.07221101005970253,success
25,2000,8,4,0.0,2.0,0.1,1.0,5.799999999999999,2,0,1,499,0,0.5477468536899942,0.07286624299718185,success
27,2000,8,4,0.0,2.0,0.1,1.0,6.199999999999999,2,0,1,499,0,0.5451334734828247,0.07190866248608092,success
28,2000,8,4,0.0,2.0,0.1,1.0,6.399999999999999,2,0,1,499,0,0.5441952603696709,0.07130911392845526,success
29,2000,8,4,0.0,2.0,0.1,1.0,6.599999999999999,2,0,1,499,0,0.5434861316144197,0.07120714862310451,success
30,2000,8,4,0.0,2.0,0.1,1.0,6.799999999999999,2,0,1,499,0,0.5428247390580413,0.0708711846300514,success
24,2000,8,4,0.0,2.0,0.1,1.0,5.599999999999999,2,0,1,499,0,0.5498280644888367,0.07393062895897012,success
8,2000,8,4,0.0,2.0,0.1,1.0,2.3999999999999995,2,442,0,58,0,0.7518460927780499,0.14203690704629165,success
12,2000,8,4,0.0,2.0,0.1,1.0,3.1999999999999993,2,33,1,466,0,0.6545488896811428,0.09875993426299141,success
13,2000,8,4,0.0,2.0,0.1,1.0,3.3999999999999995,2,19,1,480,0,0.6349626038241732,0.09434281688660975,success
11,2000,8,4,0.0,2.0,0.1,1.0,2.9999999999999996,2,62,1,437,0,0.6744334906467775,0.10044037331202497,success
9,2000,8,4,0.0,2.0,0.1,1.0,2.5999999999999996,2,255,0,245,0,0.7741703922546186,0.10554962033854057,success
19,2000,8,4,0.0,2.0,0.1,1.0,4.6,2,0,1,499,0,0.5667355719768721,0.07991742311028122,success
32,2000,8,4,0.0,2.0,0.1,1.0,7.199999999999998,2,0,1,499,0,0.5417732535542161,0.07037230412122386,success
17,2000,8,4,0.0,2.0,0.1,1.0,4.199999999999999,2,1,1,498,0,0.5787842993406853,0.08332720398840333,success
