combination_id,n,k,p,q,thrshld,p1,p2,beta,seeds,case_A_count,case_B_count,case_C_count,case_Invalid_count,delta_star_mean,delta_star_std,status
1,2000,8,2,4.0,2.0,0.1,0.6,1.0,2,468,32,0,0,,,success
2,2000,8,2,4.0,2.0,0.1,0.6,1.2,2,420,42,38,0,0.8651273364223815,0.2386126288545215,success
3,2000,8,2,4.0,2.0,0.1,0.6,1.4,2,390,55,55,0,0.7722224867391831,0.25359448683038754,success
4,2000,8,2,4.0,2.0,0.1,0.6,1.5999999999999999,2,377,60,63,0,0.7930569531336944,0.24183623498640977,success
5,2000,8,2,4.0,2.0,0.1,0.6,1.7999999999999998,2,342,66,92,0,0.7611707749301304,0.2543217879639381,success
6,2000,8,2,4.0,2.0,0.1,0.6,1.9999999999999998,2,355,49,96,0,0.7415662595049142,0.256014363775459,success
7,2000,8,2,4.0,2.0,0.1,0.6,2.1999999999999997,2,358,30,112,0,0.7005760533426442,0.24127033594116784,success
31,2000,8,2,4.0,2.0,0.1,0.6,6.999999999999998,2,404,20,76,0,0.4307849755276627,0.13758369611979301,success
16,2000,8,2,4.0,2.0,0.1,0.6,3.999999999999999,2,398,14,88,0,0.4351679352754573,0.1415657140668983,success
26,2000,8,2,4.0,2.0,0.1,0.6,5.999999999999999,2,403,21,76,0,0.4229322516258105,0.13102723989710194,success
32,2000,8,2,4.0,2.0,0.1,0.6,7.199999999999998,2,404,20,76,0,0.4301092891684441,0.13911889248698797,success
28,2000,8,2,4.0,2.0,0.1,0.6,6.399999999999999,2,404,19,77,0,0.4269422092052741,0.12604850492661443,success
30,2000,8,2,4.0,2.0,0.1,0.6,6.799999999999999,2,402,20,78,0,0.4319740340029678,0.1364502072488867,success
29,2000,8,2,4.0,2.0,0.1,0.6,6.599999999999999,2,403,21,76,0,0.41906558694813156,0.11894260248457025,success
18,2000,8,2,4.0,2.0,0.1,0.6,4.3999999999999995,2,400,16,84,0,0.41355343733481564,0.14022671012633586,success
