combination_id,k,thrshld,p1,p2,beta,seeds,primary_delta_star,num_intersections,status,delta_star_count,delta_star_values,dominant_below,dominant_above,always_dominant,intersection_1,intersection_2,intersection_3,intersection_4,intersection_5
1972,12,4,0.3,0.7,7,4,,0,not_found,0,None,,,Random,,,,,
1978,12,4,0.3,0.9,3,4,,0,not_found,0,None,,,Random,,,,,
1975,12,4,0.3,0.8,5,4,,0,not_found,0,None,,,Random,,,,,
1981,12,4,0.3,1,1,4,,0,not_found,0,None,,,Random,,,,,
1985,12,4,0,0.3,1,4,,0,not_found,0,None,,,Clustered,,,,,
1982,12,4,0.3,1,3,4,,0,not_found,0,None,,,Random,,,,,
1976,12,4,0.3,0.8,7,4,,0,not_found,0,None,,,Random,,,,,
1979,12,4,0.3,0.9,5,4,,0,not_found,0,None,,,Random,,,,,
1989,12,4,0,0,1,4,,0,not_found,0,None,,,Clustered,,,,,
1990,12,4,0,0,3,4,,0,not_found,0,None,,,Clustered,,,,,
1991,12,4,0,0,5,4,,0,not_found,0,None,,,Clustered,,,,,
1980,12,4,0.3,0.9,7,4,,0,not_found,0,None,,,Random,,,,,
1992,12,4,0,0,7,4,,0,not_found,0,None,,,Clustered,,,,,
1983,12,4,0.3,1,5,4,,0,not_found,0,None,,,Random,,,,,
1986,12,4,0,0.3,3,4,,0,not_found,0,None,,,Clustered,,,,,
1997,12,4,0,0.5,1,4,,0,not_found,0,None,,,Clustered,,,,,
1984,12,4,0.3,1,7,4,,0,not_found,0,None,,,Random,,,,,
