combination_id,k,thrshld,p1,p2,beta,seeds,primary_delta_star,num_intersections,status,delta_star_count,delta_star_values,dominant_below,dominant_above,always_dominant,intersection_1,intersection_2,intersection_3,intersection_4,intersection_5
1724,12,3,0.3,4,7,3,,0,not_found,0,None,,,Random,,,,,
1730,12,3,0.3,0.6,3,3,,0,not_found,0,None,,,Random,,,,,
1727,12,3,0.3,0.5,5,3,,0,not_found,0,None,,,Random,,,,,
1733,12,3,0.3,0.7,1,3,,0,not_found,0,None,,,Random,,,,,
1728,12,3,0.3,0.5,7,3,,0,not_found,0,None,,,Random,,,,,
1731,12,3,0.3,0.6,5,3,,0,not_found,0,None,,,Random,,,,,
1734,12,3,0.3,0.7,3,3,,0,not_found,0,None,,,Random,,,,,
1737,12,3,0.3,0.8,1,3,,0,not_found,0,None,,,Random,,,,,
1732,12,3,0.3,0.6,7,3,,0,not_found,0,None,,,Random,,,,,
1738,12,3,0.3,0.8,3,3,,0,not_found,0,None,,,Random,,,,,
1735,12,3,0.3,0.7,5,3,,0,not_found,0,None,,,Random,,,,,
1741,12,3,0.3,0.9,1,3,,0,not_found,0,None,,,Random,,,,,
1736,12,3,0.3,0.7,7,3,,0,not_found,0,None,,,Random,,,,,
1742,12,3,0.3,0.9,3,3,,0,not_found,0,None,,,Random,,,,,
1739,12,3,0.3,0.8,5,3,,0,not_found,0,None,,,Random,,,,,
1745,12,3,0.3,1,1,3,,0,not_found,0,None,,,Random,,,,,
1749,12,3,0,0.3,1,3,,0,not_found,0,None,,,Clustered,,,,,
1740,12,3,0.3,0.8,7,3,,0,not_found,0,None,,,Random,,,,,
1746,12,3,0.3,1,3,3,,0,not_found,0,None,,,Random,,,,,
1743,12,3,0.3,0.9,5,3,,0,not_found,0,None,,,Random,,,,,
1753,12,3,0,0,1,3,,0,not_found,0,None,,,Clustered,,,,,
1754,12,3,0,0,3,3,,0,not_found,0,None,,,Clustered,,,,,
1755,12,3,0,0,5,3,,0,not_found,0,None,,,Clustered,,,,,
1744,12,3,0.3,0.9,7,3,,0,not_found,0,None,,,Random,,,,,
1756,12,3,0,0,7,3,,0,not_found,0,None,,,Clustered,,,,,
1750,12,3,0,0.3,3,3,,0,not_found,0,None,,,Clustered,,,,,
1747,12,3,0.3,1,5,3,,0,not_found,0,None,,,Random,,,,,
1751,12,3,0,0.3,5,3,,0,not_found,0,None,,,Clustered,,,,,
1748,12,3,0.3,1,7,3,,0,not_found,0,None,,,Random,,,,,
1757,12,3,0,4,1,3,,0,not_found,0,None,,,Clustered,,,,,
1761,12,3,0,0.5,1,3,,0,not_found,0,None,,,Clustered,,,,,
1758,12,3,0,4,3,3,,0,not_found,0,None,,,Clustered,,,,,
1752,12,3,0,0.3,7,3,,0,not_found,0,None,,,Clustered,,,,,
1759,12,3,0,4,5,3,,0,not_found,0,None,,,Clustered,,,,,
1765,12,3,0,0.6,1,3,,0,not_found,0,None,,,Clustered,,,,,
1762,12,3,0,0.5,3,3,,0,not_found,0,None,,,Clustered,,,,,
1760,12,3,0,4,7,3,,0,not_found,0,None,,,Clustered,,,,,
1763,12,3,0,0.5,5,3,,0,not_found,0,None,,,Clustered,,,,,
1766,12,3,0,0.6,3,3,,0,not_found,0,None,,,Clustered,,,,,
1769,12,3,0,0.7,1,3,,0,not_found,0,None,,,Clustered,,,,,
1764,12,3,0,0.5,7,3,,0,not_found,0,None,,,Clustered,,,,,
1767,12,3,0,0.6,5,3,,0,not_found,0,None,,,Clustered,,,,,
1770,12,3,0,0.7,3,3,,0,not_found,0,None,,,Clustered,,,,,
1773,12,3,0,0.8,1,3,,0,not_found,0,None,,,Clustered,,,,,
1774,12,3,0,0.8,3,3,,0,not_found,0,None,,,Clustered,,,,,
1771,12,3,0,0.7,5,3,,0,not_found,0,None,,,Clustered,,,,,
1768,12,3,0,0.6,7,3,,0,not_found,0,None,,,Clustered,,,,,
1777,12,3,0,0.9,1,3,,0,not_found,0,None,,,Clustered,,,,,
1772,12,3,0,0.7,7,3,,0,not_found,0,None,,,Clustered,,,,,
1775,12,3,0,0.8,5,3,,0,not_found,0,None,,,Clustered,,,,,
1778,12,3,0,0.9,3,3,,0,not_found,0,None,,,Clustered,,,,,
1781,12,3,0,1,1,3,,0,not_found,0,None,,,Clustered,,,,,
1776,12,3,0,0.8,7,3,,0,not_found,0,None,,,Clustered,,,,,
1782,12,3,0,1,3,3,,0,not_found,0,None,,,Clustered,,,,,
1785,12,3,4,4,1,3,,0,not_found,0,None,,,Random,,,,,
1779,12,3,0,0.9,5,3,,0,not_found,0,None,,,Clustered,,,,,
1780,12,3,0,0.9,7,3,,0,not_found,0,None,,,Clustered,,,,,
1786,12,3,4,4,3,3,,0,not_found,0,None,,,Random,,,,,
1783,12,3,0,1,5,3,,0,not_found,0,None,,,Clustered,,,,,
1789,12,3,0.5,4,1,3,,0,not_found,0,None,,,Random,,,,,
1784,12,3,0,1,7,3,,0,not_found,0,None,,,Clustered,,,,,
1790,12,3,0.5,4,3,3,,0,not_found,0,None,,,Random,,,,,
1787,12,3,4,4,5,3,,0,not_found,0,None,,,Random,,,,,
1793,12,3,0.5,0.5,1,3,,0,not_found,0,None,,,Random,,,,,
1788,12,3,4,4,7,3,,0,not_found,0,None,,,Random,,,,,
1794,12,3,0.5,0.5,3,3,,0,not_found,0,None,,,Random,,,,,
1791,12,3,0.5,4,5,3,,0,not_found,0,None,,,Random,,,,,
1797,12,3,0.5,0.6,1,3,,0,not_found,0,None,,,Random,,,,,
1792,12,3,0.5,4,7,3,,0,not_found,0,None,,,Random,,,,,
1798,12,3,0.5,0.6,3,3,,0,not_found,0,None,,,Random,,,,,
1795,12,3,0.5,0.5,5,3,,0,not_found,0,None,,,Random,,,,,
1801,12,3,0.5,0.7,1,3,,0,not_found,0,None,,,Random,,,,,
