delta,V_clustered_mean,V_clustered_se,V_random_mean,V_random_se,difference,delta_star_count,delta_star_values,dominant_below,dominant_above,always_dominant
0.047,0.09625249304865084,0.00023740642718950793,0.09484357292000001,0.00017669128773631362,-0.001408920128650834,0,None,,,Clustered
0.048,0.09835136896338786,0.0002478016368240646,0.09687994368000004,0.0001843169107709122,-0.0014714252833878255,0,None,,,Clustered
0.049,0.10045245582274642,0.00025842782356880976,0.09891708595999996,0.00019210478824531772,-0.0015353698627464663,0,None,,,Clustered
0.05,0.10255575919066805,0.0002692855239515049,0.10095499999999999,0.00020005499243957924,-0.001600759190668058,0,None,,,Clustered
0.051000000000000004,0.10466128464573597,0.0002803752768122148,0.10299368603999999,0.00020816759572715255,-0.0016675986057359815,0,None,,,Clustered
0.052000000000000005,0.10676903778123298,0.0002916976233128065,0.10503314432000004,0.0002164426705748334,-0.001735893461232943,0,None,,,Clustered
0.053,0.10887902420519976,0.000303253106946492,0.10707337507999994,0.0002248802895426881,-0.0018056491251998291,0,None,,,Clustered
0.054,0.11099124954049305,0.00031504227354742475,0.10911437855999996,0.00023348052528398031,-0.0018768709804930922,0,None,,,Clustered
0.055,0.11310571942484372,0.0003270656713003488,0.11115615500000006,0.00024224345054510763,-0.001949564424843661,0,None,,,Clustered
0.056,0.11522243951091561,0.0003393238507503003,0.11319870464000001,0.0002511691381655283,-0.0020237348709156028,0,None,,,Clustered
0.057,0.11734141546636431,0.00035181736481235555,0.11524202771999999,0.00026025766107769287,-0.0020993877463643257,0,None,,,Clustered
0.058,0.11946265297389604,0.0003645467687814366,0.11728612447999998,0.0002695090923069755,-0.00217652849389606,0,None,,,Clustered
0.059000000000000004,0.12158615773132667,0.0003775126203421676,0.11933099516000008,0.0002789235049716035,-0.0022551625713265883,0,None,,,Clustered
0.06,0.12371193545164103,0.00039071547957878145,0.12137664000000001,0.00028850097228259083,-0.0023352954516410174,0,None,,,Clustered
0.061,0.12583999186305253,0.0004041559089850772,0.12342305924,0.00029824156754366287,-0.0024169326230525368,0,None,,,Clustered
0.062,0.12797033270906263,0.000417834473474441,0.12547025311999993,0.00030814536415119434,-0.0025000795890627037,0,None,,,Clustered
0.063,0.1301029637485212,0.0004317517403899033,0.12751822188000003,0.0003182124355941366,-0.002584741868521173,0,None,,,Clustered
0.064,0.13223789075568523,0.00044590827951426234,0.12956696576,0.00032844285545394474,-0.00267092499568522,0,None,,,Clustered
0.065,0.13437511952028072,0.00046030466308025604,0.13161648499999992,0.0003388366974045171,-0.0027586345202808005,0,None,,,Clustered
0.066,0.13651465584756187,0.00047494146578078416,0.13366677983999997,0.00034939403521211425,-0.0028478760075618947,0,None,,,Clustered
0.067,0.13865650555837256,0.0004898192647791954,0.13571785052000004,0.0003601149427353022,-0.002938655038372512,0,None,,,Clustered
0.068,0.1408006744892059,0.0005049386397196062,0.13776969728000005,0.00037099949392487166,-0.003030977209205865,0,None,,,Clustered
0.069,0.14294716849226663,0.000520300172737302,0.13982232035999997,0.00038204776282377783,-0.0031248481322666555,0,None,,,Clustered
0.07,0.14509599343553112,0.0005359044484691707,0.1418757199999999,0.00039325982356706564,-0.003220273435531218,0,None,,,Clustered
0.07100000000000001,0.14724715520280987,0.0005517520540641969,0.14392989644000007,0.0004046357503818009,-0.003317258762809805,0,None,,,Clustered
0.07200000000000001,0.14940065969380747,0.0005678435791940152,0.14598484992000008,0.0004161756175870019,-0.003415809773807399,0,None,,,Clustered
0.073,0.15155651282418595,0.0005841796160635142,0.14804058067999992,0.0004278794995935721,-0.0035159321441860236,0,None,,,Clustered
0.074,0.15371472052562574,0.0006007607594214908,0.15009708895999999,0.0004397474709042266,-0.0036176315656257507,0,None,,,Clustered
0.075,0.1558752887458883,0.0006175876065713732,0.15215437500000006,0.00045177960611342277,-0.0037209137458882324,0,None,,,Clustered
0.076,0.15803822344887777,0.0006346607573819812,0.1542124390400001,0.00046397597990729966,-0.0038257844088776805,0,None,,,Clustered
0.077,0.16020353061470438,0.0006519808142983586,0.15627128131999996,0.00047633666706359273,-0.003932249294704426,0,None,,,Clustered
0.078,0.16237121623974665,0.000669548382352651,0.15833090207999995,0.0004888617424515818,-0.004040314159746705,0,None,,,Clustered
0.079,0.16454128633671444,0.0006873640691750397,0.16039130156000006,0.0005015512810320076,-0.004149984776714383,0,None,,,Clustered
0.08,0.16671374693471197,0.0007054284850047454,0.16245248000000007,0.0005144053578570114,-0.004261266934711905,0,None,,,Clustered
0.081,0.16888860407930134,0.0007237422427010573,0.16451443764000004,0.0005274240480700605,-0.0043741664393013024,0,None,,,Clustered
0.082,0.17106586383256578,0.0007423059577544604,0.1665771747199999,0.0005406074269058815,-0.004488689112565891,0,None,,,Clustered
0.083,0.17324553227317402,0.0007611202482977858,0.16864069148000005,0.0005539555696903894,-0.00460484079317397,0,None,,,Clustered
0.084,0.1754276154964433,0.0007801857351174261,0.17070498815999996,0.0005674685518406193,-0.004722627336443352,0,None,,,Clustered
0.085,0.17761211961440446,0.0007995030416646201,0.17277006499999994,0.0005811464488646563,-0.004842054614404512,0,None,,,Clustered
0.08600000000000001,0.17979905075586555,0.0008190727940667852,0.17483592223999994,0.000594989336361566,-0.004963128515865611,0,None,,,Clustered
0.08700000000000001,0.18198841506647695,0.000838895621138903,0.17690256012000002,0.0006089972900213257,-0.005085854946476925,0,None,,,Clustered
0.088,0.18418021870879592,0.0008589721543949666,0.17896997888000005,0.000623170385624755,-0.005210239828795871,0,None,,,Clustered
0.089,0.1863744678623516,0.000879303028059497,0.18103817876000008,0.0006375086990434456,-0.00533628910235151,0,None,,,Clustered
0.09,0.18857116872371005,0.0008998888790790952,0.18310715999999996,0.00065201230623969,-0.005464008723710084,0,None,,,Clustered
0.091,0.19077032750654038,0.000920730347134073,0.18517692284000012,0.0006666812832664199,-0.005593404666540264,0,None,,,Clustered
0.092,0.192971950441679,0.0009418280746501303,0.18724746752,0.0006815157062671238,-0.005724482921679014,0,None,,,Clustered
0.093,0.1951760437771976,0.0009631827068100955,0.18931879427999998,0.0006965156514757904,-0.005857249497197625,0,None,,,Clustered
0.094,0.197382613778467,0.0009847948915657203,0.19139090335999998,0.0007116811952168324,-0.005991710418467022,0,None,,,Clustered
0.095,0.19959166672822448,0.0010066652796495493,0.19346379500000008,0.0007270124139050173,-0.006127871728224404,0,None,,,Clustered
0.096,0.2018032089266411,0.001028794524586819,0.19553746944000008,0.0007425093840453992,-0.006265739486641025,0,None,,,Clustered
0.097,0.2040172466913865,0.0010511832827074508,0.19761192692000012,0.0007581721822332502,-0.006405319771386364,0,None,,,Clustered
0.098,0.20623378635769743,0.001073832213158077,0.19968716767999986,0.0007740008851539902,-0.006546618677697569,0,None,,,Clustered
0.099,0.20845283427844488,0.0010967419779141397,0.20176319196000012,0.0007899955695831137,-0.006689642318444766,0,None,,,Clustered
0.1,0.21067439682419994,0.001119913241792049,0.20384000000000005,0.0008061563123861282,-0.006834396824199895,0,None,,,Clustered
0.101,0.21289848038330395,0.0011433466724613945,0.20591759204,0.0008224831905184783,-0.0069808883433039315,0,None,,,Clustered
0.10200000000000001,0.21512509136193372,0.0011670429404572295,0.20799596832,0.0008389762810254762,-0.0071291230419337215,0,None,,,Clustered
0.10300000000000001,0.2173542361841713,0.001191002719192404,0.21007512908000006,0.00085563566104224,-0.007279107104171234,0,None,,,Clustered
0.10400000000000001,0.2195859212920723,0.0012152266849699616,0.21215507456000013,0.0008724614077936133,-0.007430846732072172,0,None,,,Clustered
0.105,0.22182015314573328,0.0012397155169956038,0.214235805,0.000889453598594103,-0.007584348145733277,0,None,,,Clustered
0.106,0.22405693822336134,0.0012644698973902156,0.2163173206399999,0.0009066123108478085,-0.007739617583361447,0,None,,,Clustered
0.107,0.22629628302134372,0.001289490511202437,0.21839962172000008,0.0009239376220483515,-0.007896661301343644,0,None,,,Clustered
0.108,0.22853819405431522,0.0013147780464213134,0.22048270848000004,0.0009414296097788074,-0.00805548557431518,0,None,,,Clustered
0.109,0.23078267785522996,0.0013403331939890121,0.22256658116000005,0.0009590883517116317,-0.008216096695229907,0,None,,,Clustered
0.11,0.23302974097542925,0.0013661566478135748,0.22465124000000014,0.0009769139256085972,-0.00837850097542911,0,None,,,Clustered
0.111,0.23527938998471223,0.0013922491047817624,0.22673668524,0.0009949064093207217,-0.00854270474471222,0,None,,,Clustered
0.112,0.23753163147140652,0.001418611264771945,0.22882291712000014,0.0010130658807881976,-0.008708714351406383,0,None,,,Clustered
0.113,0.23978647204243797,0.0014452438306670576,0.23090993588000008,0.001031392418040321,-0.008876536162437887,0,None,,,Clustered
0.114,0.24204391832340127,0.0014721475083676306,0.23299774176000004,0.0010498860991954274,-0.009046176563401231,0,None,,,Clustered
0.115,0.24430397695863196,0.0014993230068048586,0.23508633500000023,0.0010685470024608186,-0.009217641958631728,0,None,,,Clustered
0.116,0.24656665461127603,0.0015267710379537635,0.23717571584000002,0.0010873752061326925,-0.009390938771276003,0,None,,,Clustered
0.117,0.24883195796336288,0.0015544923168463952,0.23926588451999994,0.001106370788596075,-0.009566073443362938,0,None,,,Clustered
0.11800000000000001,0.25109989371587554,0.0015824875615851174,0.24135684128000012,0.001125533828324754,-0.009743052435875421,0,None,,,Clustered
0.11900000000000001,0.2533704685888234,0.001610757493355935,0.2434485863599999,0.0011448644038812034,-0.009921882228823481,0,None,,,Clustered
0.12,0.2556436893213151,0.0016393028364419177,0.24554112000000017,0.0011643625939165175,-0.010102569321314925,0,None,,,Clustered
0.121,0.2579195626716285,0.0016681243182366497,0.24763444244000013,0.0011840284771703399,-0.010285120231628392,0,None,,,Clustered
0.122,0.260198095417286,0.0016972226692577833,0.24972855391999993,0.0012038621324707989,-0.010469541497286072,0,None,,,Clustered
0.123,0.26247929435512646,0.001726598623160615,0.2518234546800003,0.001223863638734428,-0.010655839675126177,0,None,,,Clustered
0.124,0.26476316630137725,0.0017562529167517826,0.2539191449599998,0.0012440330749661104,-0.010844021341377463,0,None,,,Clustered
0.125,0.26704971809173,0.0017861862900029673,0.256015625,0.0012643705202589949,-0.01103409309172998,0,None,,,Clustered
0.126,0.26933895658141194,0.0018163994860647115,0.25811289504,0.0012848760537944393,-0.011226061541411925,0,None,,,Clustered
0.127,0.2716308886452609,0.001846893251280269,0.26021095532,0.0013055497548419312,-0.011419933325260923,0,None,,,Clustered
0.128,0.2739255211778,0.0018776683351995462,0.2623098060800002,0.0013263917027590251,-0.011615715097799795,0,None,,,Clustered
0.129,0.27622286109331134,0.0019087254905930837,0.26440944756,0.0013474019769912683,-0.011813413533311334,0,None,,,Clustered
0.13,0.2785229153259106,0.0019400654734661419,0.26650987999999987,0.0013685806570721386,-0.012013035325910748,0,None,,,Clustered
0.131,0.28082569082962305,0.0019716890430728127,0.2686111036400003,0.001389927822622958,-0.012214587189622761,0,None,,,Clustered
0.132,0.28313119457845703,0.0020035969619302202,0.27071311871999987,0.0014114435533528532,-0.012418075858457167,0,None,,,Clustered
0.133,0.2854394335664819,0.0020357899958328043,0.2728159254800001,0.0014331279290586561,-0.012623508086481772,0,None,,,Clustered
0.134,0.28775041480790137,0.0020682689138666306,0.2749195241600002,0.0014549810296248483,-0.01283089064790116,0,None,,,Clustered
0.135,0.2900641453371308,0.0021010344884238074,0.27702391499999995,0.0014770029350234884,-0.013040230337130865,0,None,,,Clustered
0.136,0.29238063220887406,0.002134087495216957,0.27912909824000004,0.0014991937253141538,-0.013251533968874019,0,None,,,Clustered
0.137,0.2946998824981988,0.002167428713293743,0.28123507412000026,0.0015215534806438476,-0.013464808378198523,0,None,,,Clustered
0.138,0.2970219033006135,0.002201058925051494,0.28334184287999997,0.0015440822812469595,-0.013680060420613538,0,None,,,Clustered
0.139,0.2993467017321467,0.002234978916251869,0.28544940476000025,0.0015667802074451668,-0.013897296972146478,0,None,,,Clustered
0.14,0.3016742849294206,0.002269189476035613,0.28755775999999983,0.0015896473396473827,-0.014116524929420782,0,None,,,Clustered
0.14100000000000001,0.3040046600497331,0.002303691396937365,0.28966690884,0.0016126837583496853,-0.014337751209733074,0,None,,,Clustered
0.14200000000000002,0.3063378342711318,0.0023384854749005533,0.2917768515200002,0.0016358895441352496,-0.014560982751131601,0,None,,,Clustered
0.14300000000000002,0.3086738147924944,0.0023735725092923427,0.29388758827999995,0.00165926477767426,-0.01478622651249445,0,None,,,Clustered
0.14400000000000002,0.3110126088336082,0.0024089533029186764,0.29599911936000006,0.0016828095397238702,-0.015013489473608144,0,None,,,Clustered
0.145,0.31335422363524573,0.0024446286620393564,0.29811144499999986,0.0017065239111281167,-0.015242778635245868,0,None,,,Clustered
0.146,0.31569866645924716,0.0024805993963832257,0.30022456544,0.0017304079728178402,-0.015474101019247177,0,None,,,Clustered
0.147,0.3180459445885976,0.002516866319163402,0.30233848092000015,0.0017544618058106423,-0.015707463668597432,0,None,,,Clustered
0.148,0.32039606532750675,0.002553430247092597,0.3044531916799999,0.0017786854912107942,-0.01594287364750685,0,None,,,Clustered
0.149,0.32274903600149146,0.002590292000398482,0.30656869796,0.0018030791102091762,-0.016180338041491438,0,None,,,Clustered
0.15,0.325104863957452,0.002627452402839173,0.30868500000000015,0.0018276427440832097,-0.01641986395745182,0,None,,,Clustered
0.151,0.3274635565637554,0.002664912281718728,0.31080209803999986,0.001852376474196778,-0.016661458523755557,0,None,,,Clustered
0.152,0.3298251212103163,0.002702672467902769,0.3129199923200002,0.0018772803820001722,-0.016905128890316146,0,None,,,Clustered
0.153,0.332189565308676,0.00274073379583415,0.31503868307999977,0.0019023545490300115,-0.017150882228676223,0,None,,,Clustered
0.154,0.33455689629208635,0.002779097103548695,0.31715817055999995,0.0019275990569091752,-0.017398725732086395,0,None,,,Clustered
0.155,0.33692712161558963,0.0028177632326910314,0.31927845500000024,0.0019530139873467378,-0.017648666615589392,0,None,,,Clustered
0.156,0.33930024875610143,0.002856733028530477,0.32139953663999976,0.0019785994221378934,-0.01790071211610167,0,None,,,Clustered
0.157,0.3416762852124928,0.002896007339977003,0.3235214157200001,0.002004355443163885,-0.01815486949249273,0,None,,,Clustered
0.158,0.3440552385056733,0.0029355870195972855,0.3256440924800001,0.0020302821323919533,-0.01841114602567323,0,None,,,Clustered
0.159,0.3464371161786732,0.0029754729236308166,0.3277675671599998,0.002056379571875246,-0.018669549018673404,0,None,,,Clustered
0.16,0.34882192579672655,0.003015665912006106,0.32989184,0.002082647843752756,-0.01893008579672656,0,None,,,Clustered
0.161,0.3512096749473559,0.003056166848356923,0.33201691123999966,0.0021090870302492514,-0.01919276370735623,0,None,,,Clustered
0.162,0.35360037124045607,0.0030969766000386693,0.33414278111999995,0.002135697213675211,-0.019457590120456114,0,None,,,Clustered
0.163,0.35599402230837585,0.003138096038144775,0.3362694498800002,0.0021624784764267533,-0.019724572428375664,0,None,,,Clustered
0.164,0.3583906358060056,0.003179526037523196,0.33839691775999986,0.0021894309009855596,-0.01999371804600575,0,None,,,Clustered
0.165,0.3607902194108608,0.003221267476792991,0.34052518499999984,0.0022165545699188195,-0.02026503441086097,0,None,,,Clustered
0.166,0.3631927808231674,0.003263321238360966,0.3426542518400002,0.002243849565879147,-0.020538528983167215,0,None,,,Clustered
0.167,0.365598327765945,0.0033056882084383935,0.3447841185199998,0.002271315971604512,-0.02081420924594518,0,None,,,Clustered
0.168,0.3680068679850968,0.0033483692770578124,0.34691478527999997,0.002298953869918196,-0.021092082705096826,0,None,,,Clustered
0.169,0.37041840924949265,0.0033913653380899106,0.3490462523599999,0.002326763343728679,-0.021372156889492733,0,None,,,Clustered
0.17,0.3728329593510552,0.003434677289260477,0.35117851999999994,0.002354744476029617,-0.021654439351055266,0,None,,,Clustered
0.171,0.37525052610484855,0.0034783060321674367,0.35331158844,0.0023828973498997356,-0.021938937664848557,0,None,,,Clustered
0.17200000000000001,0.3776711173491645,0.003522252472297968,0.3554454579199999,0.0024112220485027805,-0.0222256594291646,0,None,,,Clustered
0.17300000000000001,0.38009474094560813,0.0035665175190456784,0.35758012867999994,0.0024397186550874465,-0.02251461226560819,0,None,,,Clustered
0.17400000000000002,0.38252140477918856,0.003611102085727887,0.35971560096000005,0.0024683872529873015,-0.022805803819188508,0,None,,,Clustered
0.17500000000000002,0.38495111675840454,0.003656007089602975,0.361851875,0.0024972279256207266,-0.023099241758404554,0,None,,,Clustered
0.176,0.38738388481533353,0.003701233451887803,0.36398895104000006,0.0025262407564908378,-0.02339493377533347,0,None,,,Clustered
0.177,0.3898197169057205,0.003746782097775227,0.3661268293199997,0.0025554258291854196,-0.0236928875857208,0,None,,,Clustered
0.178,0.39225862100906794,0.003792653956451689,0.3682655100800001,0.0025847832273768654,-0.023993110929067862,0,None,,,Clustered
0.179,0.39470060512872174,0.003838849961114875,0.3704049935600002,0.002614313034822093,-0.024295611568721565,0,None,,,Clustered
0.18,0.3971456772919653,0.003885371048991476,0.3725452799999998,0.0026440153353624856,-0.024600397291965503,0,None,,,Clustered
0.181,0.39959384555010646,0.0039322181613550165,0.3746863696399999,0.0026738902129238183,-0.024907475910106558,0,None,,,Clustered
0.182,0.40204511797856923,0.00397939224354376,0.3768282627200003,0.0027039377515161943,-0.025216855258568927,0,None,,,Clustered
0.183,0.4044995026769835,0.004026894244978713,0.3789709594799997,0.0027341580352339724,-0.025528543196983777,0,None,,,Clustered
0.184,0.40695700776927696,0.004074725119181692,0.38111446015999995,0.0027645511482556917,-0.02584254760927701,0,None,,,Clustered
0.185,0.40941764140376646,0.004122885823793495,0.38325876499999995,0.0027951171748440166,-0.026158876403766518,0,None,,,Clustered
0.186,0.41188141175324844,0.00417137732059212,0.38540387424,0.0028258561993456557,-0.02647753751324844,0,None,,,Clustered
0.187,0.4143483270150925,0.004220200575511122,0.38754978812000007,0.002856768306191301,-0.026798538895092427,0,None,,,Clustered
0.188,0.416818395411334,0.004269356558657988,0.38969650687999996,0.002887853579895546,-0.027121888531334015,0,None,,,Clustered
0.189,0.4192916251887646,0.004318846244332658,0.39184403075999996,0.002919112105056838,-0.027447594428764654,0,None,,,Clustered
0.19,0.4217680246190277,0.004368670611046069,0.39399236000000015,0.0029505439663573907,-0.02777566461902753,0,None,,,Clustered
0.191,0.4242476019987114,0.0044188306415388475,0.39614149484,0.002982149248563119,-0.028106107158711424,0,None,,,Clustered
0.192,0.42673036564944106,0.004469327322800035,0.39829143552000024,0.0030139280365235784,-0.02843893012944082,0,None,,,Clustered
0.193,0.4292163239179754,0.004520161646085922,0.4004421822799996,0.003045880415171888,-0.02877414163797576,0,None,,,Clustered
0.194,0.43170548517630003,0.0045713346069389624,0.40259373536000026,0.003078006469524661,-0.02911174981629977,0,None,,,Clustered
0.195,0.4341978578217208,0.004622847205206777,0.40474609500000036,0.0031103062846819423,-0.029451762821720462,0,None,,,Clustered
0.196,0.43669345027696344,0.00467470044506125,0.4068992614399998,0.003142779945827135,-0.02979418883696361,0,None,,,Clustered
0.197,0.4391922709902642,0.004726895335017681,0.4090532349199998,0.0031754275382269315,-0.030139036070264413,0,None,,,Clustered
0.198,0.44169432843547,0.004779432887954058,0.4112080156800002,0.0032082491472312457,-0.030486312755469813,0,None,,,Clustered
0.199,0.44419963111213057,0.004832314121130412,0.41336360395999994,0.003241244858273144,-0.03083602715213063,0,None,,,Clustered
0.2,0.4467081875455999,0.004885540056208252,0.41552000000000006,0.0032744147568687797,-0.03118818754559982,0,None,,,Clustered
0.201,0.44922000628713027,0.004939111719270068,0.41767720403999997,0.003307758928617311,-0.0315428022471303,0,None,,,Clustered
0.202,0.4517350959139701,0.004993030140838962,0.41983521632000004,0.0033412774592008485,-0.03189987959397006,0,None,,,Clustered
0.203,0.4542534650294623,0.005047296355898345,0.4219940370800001,0.0033749704343843923,-0.03225942794946218,0,None,,,Clustered
0.20400000000000001,0.45677512226314393,0.005101911403911733,0.42415366656,0.0034088379400157268,-0.03262145570314395,0,None,,,Clustered
0.20500000000000002,0.4593000762708412,0.005156876328842601,0.426314105,0.0034428800620253954,-0.032985971270841186,0,None,,,Clustered
0.20600000000000002,0.4618283357347721,0.005212192179174376,0.4284753526400003,0.0034770968864266056,-0.033352983094771804,0,None,,,Clustered
0.20700000000000002,0.4643599093636446,0.005267860007930495,0.43063740972000003,0.003511488499315162,-0.03372249964364454,0,None,,,Clustered
0.20800000000000002,0.4668948058927551,0.0053238808726945325,0.4328002764800003,0.0035460549868694064,-0.034094529412754815,0,None,,,Clustered
0.209,0.46943303408409065,0.0053802558356304585,0.43496395315999964,0.0035807964353501472,-0.03446908092409101,0,None,,,Clustered
0.21,0.471974602726429,0.005436985963502971,0.43712844000000006,0.003615712931100585,-0.03484616272642893,0,None,,,Clustered
0.211,0.4745195206354378,0.005494072327697914,0.4392937372400002,0.003650804560546258,-0.03522578339543758,0,None,,,Clustered
0.212,0.4770677966537785,0.005551516004242783,0.4414598451199999,0.0036860714101949453,-0.0356079515337786,0,None,,,Clustered
0.213,0.4796194396512064,0.005609318073827342,0.44362676387999966,0.003721513566636629,-0.03599267577120674,0,None,,,Clustered
0.214,0.48217445852467455,0.005667479621824327,0.44579449376000035,0.0037571311165434033,-0.0363799647646742,0,None,,,Clustered
0.215,0.4847328621984328,0.005726001738310241,0.4479630349999998,0.003792924146669429,-0.036769827198433025,0,None,,,Clustered
0.216,0.48729465962413515,0.00578488551808622,0.45013238784000004,0.0038288927438508303,-0.037162271784135115,0,None,,,Clustered
